carat,depth,table,x,y,z,cut,price
0.38,61.6,56,4.65,4.67,2.87,4,554
0.26,57.9,60,4.22,4.25,2.45,1,554
0.24,62.3,59,3.95,3.92,2.45,3,554
0.24,61.2,58,4.01,3.96,2.44,3,554
0.24,60.8,59,4.02,4,2.44,3,554
0.24,60.7,58,4.07,4.04,2.46,3,554
0.32,62.9,58,4.35,4.33,2.73,3,554
0.7,62.5,57,5.7,5.72,3.57,4,2757
0.86,55.1,69,6.45,6.33,3.52,0,2757
0.7,61.6,56,5.7,5.67,3.5,4,2757
0.71,62.4,57,5.68,5.73,3.56,2,2759
0.78,63.8,56,5.81,5.85,3.72,2,2759
0.7,57.5,58,5.85,5.9,3.38,1,2759
0.7,59.4,62,5.71,5.76,3.4,1,2759
0.96,66.3,62,6.27,5.95,4.07,0,2759
0.73,61.6,59,5.77,5.78,3.56,2,2760
0.8,61.5,58,5.97,5.93,3.66,3,2760
0.75,63.2,56,5.8,5.75,3.65,2,2760
0.75,59.9,54,6,5.96,3.58,3,2760
0.74,61.6,55,5.8,5.85,3.59,4,2760
0.75,61.7,58,5.85,5.79,3.59,3,2760
0.8,62.9,56,5.94,5.87,3.72,4,2760
0.75,62.2,55,5.87,5.8,3.63,4,2760
0.8,63,59,5.9,5.81,3.69,3,2760
0.74,62.3,55,5.77,5.81,3.61,4,2761
0.81,58.8,57,6.14,6.11,3.6,4,2761
0.59,62,55,5.38,5.43,3.35,4,2761
0.8,61.4,57,5.96,6,3.67,4,2761
0.74,62.2,56,5.8,5.84,3.62,4,2761
0.9,63,58,6.16,6.12,3.87,3,2761
0.74,62.2,59,5.73,5.82,3.59,2,2762
0.73,62.6,56,5.77,5.74,3.6,4,2762
0.73,62.7,53,5.8,5.75,3.62,4,2762
0.8,61.7,58,5.98,5.94,3.68,3,2762
0.71,62.4,54,5.72,5.76,3.58,4,2762
0.7,60.7,58,5.73,5.76,3.49,4,2762
0.8,59.9,59,6.01,6.07,3.62,4,2762
0.71,62.3,56,5.73,5.69,3.56,4,2762
0.74,62.3,54,5.8,5.83,3.62,4,2762
0.7,61.7,63,5.64,5.61,3.47,2,2762
0.7,64.5,57,5.57,5.53,3.58,0,2762
0.7,65.3,55,5.63,5.58,3.66,0,2762
0.7,61.6,60,5.65,5.59,3.46,3,2762
0.91,61.4,56,6.09,5.97,3.7,3,2763
0.61,59.6,57,5.56,5.58,3.32,2,2763
0.91,64.4,57,6.11,6.09,3.93,0,2763
0.91,65.7,60,6.03,5.99,3.95,0,2763
0.77,62,56,5.89,5.86,3.64,4,2763
0.71,63.6,58,5.64,5.68,3.6,2,2764
0.71,61.9,59,5.69,5.72,3.53,4,2764
0.7,62.6,60,5.62,5.65,3.53,2,2765
0.77,61.3,60,5.88,5.9,3.61,2,2765
0.63,60.9,60,5.52,5.55,3.37,3,2765
0.71,60.1,62,5.74,5.77,3.46,2,2765
0.71,61.8,59,5.69,5.73,3.53,3,2765
0.76,61.2,57,5.88,5.91,3.61,4,2765
0.64,61.9,56,5.53,5.56,3.43,4,2766
0.71,60.9,57,5.78,5.75,3.51,3,2766
0.71,59.8,56,5.89,5.81,3.5,3,2766
0.7,61.8,55,5.68,5.72,3.52,2,2767
0.7,60,57,5.8,5.87,3.5,2,2767
0.71,61.6,55,5.74,5.76,3.54,4,2767
0.7,62.1,64,5.62,5.65,3.5,1,2767
0.71,63.3,59,5.52,5.61,3.52,2,2768
0.73,60.2,56,5.83,5.87,3.52,2,2768
0.7,61.1,58,5.66,5.73,3.48,2,2768
0.7,60.9,57,5.73,5.76,3.5,4,2768
0.71,61.7,59,5.71,5.67,3.51,3,2768
0.74,61.3,56,5.82,5.86,3.57,4,2769
0.71,62.5,60,5.65,5.61,3.52,3,2770
0.73,61.4,59,5.83,5.76,3.56,3,2770
0.76,62.9,57,5.79,5.81,3.65,2,2770
0.76,62.4,57,5.78,5.83,3.62,4,2770
0.71,60.7,56,5.77,5.8,3.51,4,2770
0.73,60.7,58,5.87,5.82,3.55,3,2770
0.73,61.5,58,5.79,5.75,3.55,3,2770
0.73,59.9,57,5.92,5.89,3.54,4,2770
0.73,59.2,59,5.92,5.87,3.49,3,2770
0.72,60.3,56,5.81,5.83,3.51,2,2771
0.73,61.7,60,5.79,5.82,3.58,2,2771
0.71,61.9,57,5.73,5.77,3.56,4,2771
0.79,61.9,55,5.97,5.92,3.68,4,2771
0.73,60.4,59,5.83,5.89,3.54,2,2772
0.8,61,57,6.01,6.03,3.67,2,2772
0.58,61.5,55,5.39,5.44,3.33,4,2772
0.58,61.7,56,5.33,5.37,3.3,4,2772
0.71,59.2,61,5.8,5.88,3.46,1,2772
0.75,61.3,56,5.85,5.89,3.6,4,2773
0.7,58,62,5.87,5.78,3.38,3,2773
1.17,60.2,61,6.83,6.9,4.13,2,2774
0.6,61.7,55,5.41,5.44,3.35,4,2774
0.7,62.7,55,5.68,5.74,3.58,4,2774
0.83,64.6,54,5.85,5.88,3.79,1,2774
0.74,61.3,61,5.8,5.84,3.57,2,2775
0.72,63.7,56.4,5.62,5.69,3.61,2,2776
0.71,62.7,58,5.74,5.68,3.58,3,2776
0.71,62.2,57,5.79,5.62,3.55,4,2776
0.54,61.6,56,5.25,5.27,3.24,4,2776
0.54,61.5,57,5.24,5.26,3.23,4,2776
0.72,61.8,56,5.72,5.75,3.55,4,2776
0.72,60.7,56,5.79,5.82,3.53,4,2776
0.72,59.7,60.5,5.8,5.84,3.47,1,2776
0.71,60.5,56,5.8,5.76,3.5,4,2776
0.7,62.7,58,5.66,5.73,3.57,2,2777
0.71,62.1,58,5.67,5.7,3.53,3,2777
0.71,62.8,57,5.64,5.69,3.56,2,2777
0.71,63.8,58,5.61,5.64,3.59,1,2777
0.71,57.8,60,5.87,5.9,3.4,1,2777
0.7,62.1,55,5.7,5.67,3.53,4,2777
0.7,61.1,60,5.71,5.64,3.47,3,2777
0.7,60,59,5.79,5.75,3.46,3,2777
0.7,61.2,57,5.73,5.68,3.49,3,2777
0.7,62.7,59,5.67,5.63,3.54,3,2777
0.7,61,57,5.73,5.68,3.48,3,2777
0.7,61,58,5.78,5.72,3.51,3,2777
0.7,61.4,57,5.76,5.7,3.52,4,2777
0.72,61.8,61,5.82,5.71,3.56,3,2777
0.7,59.9,63,5.76,5.7,3.43,2,2777
0.7,61.3,58,5.71,5.68,3.49,3,2777
0.7,60.5,58,5.77,5.74,3.48,3,2777
0.7,64.1,59,5.64,5.59,3.6,1,2777
0.98,67.9,60,6.05,5.97,4.08,0,2777
0.78,62.4,58,5.83,5.8,3.63,3,2777
0.7,63.2,60,5.6,5.51,3.51,2,2777
0.52,61.3,55,5.19,5.22,3.19,4,2778
0.73,60.8,56,5.82,5.84,3.55,2,2779
0.74,61.7,56,5.84,5.8,3.59,4,2779
0.7,63.6,57,5.61,5.65,3.58,2,2780
0.77,61.2,58,5.9,5.93,3.62,3,2780
0.71,62.1,54,5.68,5.72,3.54,4,2780
0.74,61.5,55,5.81,5.86,3.59,4,2780
0.7,61.4,59,5.64,5.73,3.49,4,2780
1.01,61.8,60,6.39,6.36,3.94,3,2781
0.77,62.2,56,5.83,5.88,3.64,4,2781
0.78,61.2,56,5.92,5.99,3.64,4,2781
0.72,60.6,63,5.83,5.76,3.51,2,2782
0.53,57.5,64,5.34,5.37,3.08,2,2782
0.76,61.3,56,5.9,5.94,3.63,4,2782
0.7,57.2,62,5.81,5.77,3.31,1,2782
0.7,62.9,60,5.62,5.54,3.51,3,2782
0.75,63.1,58,5.78,5.73,3.63,2,2782
0.72,60.8,57,5.76,5.75,3.5,4,2782
0.72,62.7,59,5.73,5.69,3.58,3,2782
0.7,62.8,60,5.68,5.66,3.56,3,2782
0.84,55.1,67,6.39,6.2,3.47,0,2782
0.75,61.4,59,5.88,5.85,3.6,3,2782
0.52,62.2,55,5.14,5.18,3.21,4,2783
0.72,63,54,5.69,5.73,3.6,2,2784
0.79,63.7,56,5.85,5.92,3.75,2,2784
0.72,63.6,58,5.66,5.69,3.61,2,2787
0.51,62,57,5.11,5.15,3.18,4,2787
0.64,61.5,56,5.54,5.55,3.41,4,2787
0.7,60.5,60,5.74,5.77,3.48,2,2788
0.83,61.1,60,6.07,6.1,3.72,2,2788
0.76,61.8,56,5.85,5.87,3.62,4,2788
0.71,63.3,56,5.64,5.68,3.58,1,2788
0.77,59.4,64,5.97,5.92,3.53,1,2788
0.71,62.5,55,5.71,5.65,3.55,4,2788
1.01,64.5,58,6.29,6.21,4.03,0,2788
1.01,62.7,59,6.31,6.22,3.93,3,2788
0.77,64.2,52,5.81,5.77,3.72,1,2789
0.76,63.7,54,5.76,5.85,3.7,1,2789
0.76,60.4,58,5.92,5.94,3.58,3,2789
0.76,61.8,58,5.82,5.86,3.61,3,2789
1.05,63.2,56,6.49,6.45,4.09,2,2789
0.81,61.6,56,5.97,6.01,3.69,4,2789
0.7,61.6,56,5.72,5.75,3.53,4,2789
0.55,60.9,57,5.28,5.3,3.22,4,2789
0.81,61,61,5.94,5.99,3.64,1,2789
0.63,62.1,57,5.48,5.41,3.38,3,2789
0.63,60.9,60,5.55,5.52,3.37,3,2789
0.77,61.3,60,5.9,5.88,3.61,3,2789
1.05,65.8,59,6.41,6.27,4.18,0,2789
0.64,61.3,56,5.54,5.58,3.41,4,2790
0.76,58.8,59,6,5.94,3.51,3,2790
0.83,62.3,55,6.02,6.05,3.76,4,2790
0.71,60.1,62,5.77,5.74,3.46,3,2790
0.71,61.8,59,5.73,5.69,3.53,3,2790
0.87,63.6,55.8,6.07,6.1,3.87,2,2791
0.73,62.2,56,5.74,5.78,3.58,4,2791
0.71,59.2,59,5.83,5.86,3.46,3,2792
0.71,61.8,59,5.7,5.75,3.54,3,2792
0.71,61.3,55,5.72,5.77,3.52,4,2792
0.7,62.1,60,5.71,5.65,3.53,3,2792
0.7,60.7,60,5.78,5.75,3.5,3,2792
0.76,59.6,57,5.91,5.86,3.51,3,2792
0.7,62.2,56,5.73,5.68,3.55,4,2792
0.79,60.6,57,5.98,6.06,3.65,2,2793
0.7,62.9,57,5.66,5.69,3.57,2,2793
0.7,64.1,55,5.6,5.66,3.61,1,2793
0.76,61.3,56,5.87,5.91,3.61,4,2793
0.73,62.7,55,5.72,5.76,3.6,4,2793
0.79,63.2,56,5.91,5.86,3.72,2,2794
0.71,60.7,56,5.81,5.82,3.53,2,2795
0.81,61.9,60,5.91,5.86,3.64,3,2795
0.81,62.6,55,5.92,5.96,3.72,4,2795
0.72,60.7,60,5.74,5.72,3.48,1,2795
0.72,62,60,5.73,5.69,3.54,3,2795
0.72,63,57,5.72,5.7,3.6,3,2795
0.81,58,59,6.17,6.13,3.57,3,2795
0.72,62.9,57,5.73,5.65,3.58,3,2795
1,58.2,60,6.61,6.55,3.83,3,2795
0.73,63.2,58,5.7,5.76,3.62,1,2796
0.81,61.3,59,5.94,6.01,3.66,2,2797
0.81,60.3,60,6.07,6.1,3.67,2,2797
0.71,62.7,60,5.67,5.71,3.57,3,2797
0.71,61.3,58,5.73,5.75,3.52,3,2797
0.71,61.6,60,5.74,5.69,3.52,3,2797
0.57,61.9,55,5.34,5.35,3.31,4,2797
0.51,61.7,56,5.12,5.16,3.17,4,2797
0.72,61.9,58,5.72,5.75,3.55,4,2797
0.74,61.8,58,5.77,5.81,3.58,4,2797
0.74,61.6,56,5.81,5.82,3.58,4,2797
0.7,58.8,66,5.81,5.9,3.44,0,2797
0.8,61,57,6.03,6.01,3.67,3,2797
1.01,67.4,60,6.19,6.05,4.13,0,2797
0.8,63.4,60,5.92,5.82,3.72,2,2797
0.77,61.5,59,5.87,5.91,3.62,4,2798
0.83,58,62,6.19,6.25,3.61,2,2799
0.82,62.4,54,5.97,6.02,3.74,4,2799
0.78,61.9,57,5.91,5.86,3.64,4,2799
0.6,61.6,56,5.43,5.46,3.35,2,2800
0.9,62.2,59,6.07,6.11,3.79,1,2800
0.7,62.2,58,5.6,5.66,3.5,3,2800
0.9,61.3,56,6.17,6.23,3.8,2,2800
0.83,62.3,57,5.99,6.08,3.76,4,2800
0.83,61.8,57,6.03,6.07,3.74,4,2800
0.83,62.5,59,5.95,6.02,3.74,2,2800
0.74,62.9,60,5.74,5.68,3.59,3,2800
0.79,61.8,59,5.92,5.95,3.67,4,2800
0.61,62.3,56,5.43,5.45,3.39,4,2800
0.76,59,70,5.89,5.8,3.46,0,2800
0.96,60.7,55,6.37,6.41,3.88,4,2801
0.73,62.5,55,5.8,5.76,3.61,4,2801
0.73,62.7,58,5.76,5.7,3.59,3,2801
0.75,60.4,57,5.93,5.96,3.59,4,2801
0.71,62.1,58,5.7,5.67,3.53,3,2801
0.71,57.8,60,5.9,5.87,3.4,1,2801
0.71,63.8,58,5.64,5.61,3.59,1,2801
0.71,62.8,57,5.69,5.64,3.56,3,2801
1.04,62.2,58,6.46,6.41,4,3,2801
1,62.3,58,6.45,6.34,3.98,3,2801
0.87,59.9,58,6.19,6.23,3.72,2,2802
0.53,61.9,54,5.22,5.25,3.24,4,2802
0.72,63,55,5.79,5.61,3.59,3,2802
0.72,62.4,58,5.83,5.7,3.6,3,2802
0.7,62.9,58,5.63,5.65,3.55,2,2803
0.74,63.5,56,5.74,5.79,3.66,2,2803
0.71,61.3,56,5.75,5.71,3.51,4,2803
0.73,60.6,54,5.84,5.89,3.55,4,2803
0.7,65.1,58,5.56,5.59,3.63,1,2803
0.71,62.6,58,5.7,5.67,3.56,3,2803
0.71,58,62,5.85,5.81,3.38,3,2803
0.71,62.4,61,5.7,5.65,3.54,3,2803
0.77,61.3,57,5.93,5.88,3.62,3,2803
0.71,59.9,60,5.81,5.77,3.47,3,2803
0.78,60.8,58,6.03,5.95,3.64,3,2803
0.71,63.5,55,5.66,5.64,3.59,2,2803
0.91,62.2,57,6.21,6.15,3.85,4,2803
0.71,63.8,58,5.62,5.66,3.6,2,2804
0.71,64,57,5.66,5.68,3.63,2,2804
0.8,62.5,56,5.88,5.96,3.7,2,2804
0.7,62.3,58,5.69,5.73,3.56,2,2804
0.72,61.7,57,5.74,5.77,3.55,4,2804
0.72,62.2,58,5.75,5.7,3.56,2,2804
0.82,61.5,56,6.01,6.08,3.72,4,2804
0.7,61,59,5.68,5.7,3.47,4,2804
0.72,62.2,56,5.74,5.77,3.58,4,2804
0.72,61.5,54,5.77,5.8,3.56,4,2804
0.9,67.3,59,5.93,5.84,3.96,0,2804
0.74,61.7,58,5.85,5.78,3.59,3,2805
0.74,61.9,56,5.8,5.77,3.58,3,2805
0.73,61.8,58,5.77,5.81,3.58,4,2805
0.57,58.7,66,5.34,5.43,3.16,0,2805
0.73,62.5,57,5.75,5.7,3.58,3,2805
0.72,62.8,56,5.74,5.7,3.59,4,2805
0.74,61.1,68,5.82,5.75,3.53,0,2805
0.82,64,57,5.92,5.89,3.78,1,2805
0.81,62.5,60,5.89,5.94,3.69,2,2806
0.75,60.6,58,5.85,5.9,3.56,2,2806
0.7,61.6,55,5.72,5.74,3.53,4,2806
0.71,62.2,58,5.66,5.72,3.54,2,2807
0.71,60,57,5.84,5.9,3.52,2,2807
0.93,61.9,57,6.21,6.19,3.84,3,2807
0.8,62.8,57,5.87,5.91,3.7,2,2808
0.7,62,57,5.64,5.71,3.52,2,2808
1,66.4,59,6.16,6.09,4.07,0,2808
0.75,63.4,56,5.78,5.74,3.65,2,2808
0.58,60.9,56,5.41,5.43,3.3,4,2808
0.73,63.1,57,5.74,5.7,3.61,2,2808
0.81,63.1,59,5.85,5.79,3.67,2,2809
0.81,59.2,57,6.15,6.05,3.61,3,2809
0.71,60.7,54,5.84,5.8,3.53,3,2809
1.2,64.6,56,6.73,6.66,4.33,0,2809
0.7,61.8,56,5.63,5.7,3.5,2,2810
0.7,59.9,60,5.77,5.84,3.48,2,2810
0.74,61.7,55,5.81,5.85,3.6,4,2810
0.7,62.8,61,5.57,5.61,3.51,1,2810
0.8,62.7,57,5.84,5.93,3.69,1,2810
0.75,63.4,58,5.72,5.76,3.64,2,2811
0.83,63.5,54,5.98,5.95,3.79,2,2811
1,65.7,59,6.14,6.07,4.01,0,2811
0.99,68.1,56,6.21,6.06,4.18,0,2811
0.7,63,60,5.57,5.64,3.53,2,2812
0.7,59.5,58,5.75,5.85,3.45,2,2812
0.7,63.5,59,5.49,5.53,3.5,1,2812
0.7,61.7,58,5.63,5.69,3.49,2,2812
0.32,62.7,58,4.37,4.34,2.73,3,554
0.32,62.8,58,4.39,4.34,2.74,3,554
0.32,62.4,57,4.37,4.35,2.72,4,554
0.32,61,59,4.39,4.36,2.67,3,554
0.32,63.1,56,4.39,4.36,2.76,2,554
0.32,60.7,57,4.47,4.42,2.7,4,554
0.3,60.9,59,4.31,4.29,2.62,3,554
0.3,60.1,55,4.41,4.38,2.64,3,554
0.3,62.9,58,4.28,4.24,2.68,3,554
0.3,63.3,56,4.29,4.27,2.71,2,554
0.3,63.8,55,4.26,4.2,2.7,1,554
0.3,62.9,57,4.27,4.22,2.67,4,554
0.3,63.4,60,4.25,4.23,2.69,2,554
0.32,63.9,55,4.36,4.34,2.78,1,554
0.33,61.4,56,4.85,4.79,2.95,4,554
0.29,61.9,55,4.28,4.33,2.66,2,555
0.29,62.4,55,4.2,4.25,2.63,2,555
0.31,61.8,58,4.32,4.35,2.68,2,555
0.34,61.5,56,4.47,4.5,2.76,4,555
0.34,60.4,57,4.54,4.57,2.75,4,555
0.34,61.8,55,4.48,4.52,2.78,4,555
0.34,62,56,4.5,4.53,2.8,4,555
0.3,62.3,56,4.29,4.31,2.68,4,555
0.29,61.6,56,4.26,4.31,2.64,4,555
0.35,60.6,56,4.56,4.58,2.77,4,555
0.43,58.4,62,4.94,5,2.9,2,555
0.32,61.4,58,4.37,4.42,2.7,2,556
0.36,61.9,56,4.54,4.57,2.82,4,556
0.3,62,56,4.28,4.3,2.66,4,556
0.26,61.5,57,4.09,4.12,2.52,4,556
0.7,62.3,58,5.64,5.72,3.54,2,2812
0.7,60.9,61,5.66,5.71,3.46,2,2812
0.71,62.4,57,5.69,5.72,3.56,4,2812
0.99,55,61,6.72,6.67,3.68,0,2812
0.73,58.6,60,5.92,5.89,3.46,3,2812
0.51,62,57,5.15,5.11,3.18,4,2812
0.91,59.8,58,6.3,6.29,3.77,3,2813
0.84,63.4,55,6,5.95,3.79,2,2813
0.91,64.3,58,6.09,6.05,3.9,1,2813
0.76,62.2,59,5.86,5.81,3.63,3,2814
0.76,61.7,57,5.88,5.85,3.62,4,2814
0.75,61.1,59,5.86,5.83,3.57,3,2814
0.55,61.5,56,5.23,5.27,3.23,2,2815
0.76,58.5,62,5.93,6.01,3.49,2,2815
0.74,61.7,58,5.79,5.81,3.58,3,2815
0.7,60.4,56,5.75,5.81,3.49,4,2815
0.7,61.4,56,5.7,5.76,3.52,4,2815
0.7,61.5,55,5.73,5.79,3.54,4,2815
0.7,61.4,56,5.72,5.77,3.53,4,2815
0.9,65,56,6.08,6.04,3.94,0,2815
0.95,56,60,6.62,6.53,3.68,0,2815
0.89,60.2,59,6.26,6.23,3.76,3,2815
0.72,58.3,58,5.99,5.92,3.47,3,2815
0.96,53.1,63,6.73,6.65,3.55,0,2815
1.02,60.3,58,6.55,6.5,3.94,3,2815
0.78,61.4,56,5.91,5.95,3.64,2,2816
0.61,60.1,57,5.52,5.54,3.32,4,2816
0.71,63.4,55,5.61,5.69,3.58,1,2816
0.78,61.5,59,5.96,5.88,3.64,3,2816
0.87,62.7,56,6.16,6.13,3.85,4,2816
0.83,62.5,55,6.04,6,3.76,4,2816
0.71,61.3,56,5.78,5.73,3.53,3,2817
0.71,60.2,56,5.84,5.89,3.53,4,2817
0.71,62.7,57,5.66,5.64,3.54,4,2817
0.71,62.3,58,5.69,5.65,3.53,3,2817
0.63,61.5,56,5.48,5.52,3.38,4,2817
0.71,59.2,59,5.86,5.83,3.46,3,2817
0.71,61.8,59,5.75,5.7,3.54,3,2817
0.71,61.3,55,5.77,5.72,3.52,4,2817
0.71,61.4,58,5.77,5.73,3.53,3,2817
0.9,62.8,55,6.2,6.16,3.88,4,2817
0.71,62.8,64,5.6,5.54,3.5,1,2817
0.7,62.4,61,5.66,5.63,3.52,3,2818
0.7,59.3,60,5.78,5.73,3.41,3,2818
0.7,63,60,5.64,5.6,3.54,3,2818
1,61.3,60,6.43,6.39,3.93,3,2818
0.86,59.3,62,6.36,6.22,3.73,3,2818
0.8,61,57,6.07,6,3.68,4,2818
0.7,62.9,57,5.66,5.61,3.54,4,2818
0.7,59.6,57,5.91,5.83,3.5,3,2818
0.7,61.8,60,5.69,5.64,3.5,3,2818
0.7,62.7,57,5.68,5.64,3.55,3,2818
1,65.3,62,6.34,6.12,4.08,0,2818
0.72,63.8,58,5.64,5.68,3.61,2,2819
0.72,62.3,56,5.73,5.77,3.58,4,2819
0.7,59.7,63,5.76,5.79,3.45,1,2819
0.86,64.3,60,5.97,5.95,3.83,1,2819
0.71,62.9,58,5.66,5.69,3.57,4,2820
0.75,62,57,5.8,5.78,3.59,4,2821
0.73,61.6,59,5.77,5.73,3.54,3,2821
0.53,61.9,55,5.2,5.21,3.22,4,2821
0.73,61.3,58,5.83,5.76,3.55,3,2821
0.73,63.6,57,5.72,5.7,3.63,1,2821
0.73,59.6,61,5.92,5.85,3.51,3,2821
0.73,62.2,59,5.77,5.68,3.56,3,2821
0.73,61.7,55,5.84,5.82,3.6,3,2821
0.73,63.2,58,5.76,5.7,3.62,2,2821
0.7,60.8,60,5.74,5.71,3.48,3,2822
0.72,60.3,59,5.84,5.8,3.51,3,2822
0.72,60.9,60,5.8,5.76,3.52,3,2822
0.72,62.4,59,5.77,5.7,3.58,3,2822
0.7,60.2,60,5.73,5.7,3.44,3,2822
0.6,62,55,5.37,5.4,3.34,4,2822
0.74,60.8,57,5.85,5.89,3.57,4,2822
0.73,62.1,55,5.75,5.78,3.58,4,2822
0.71,62.7,60,5.71,5.67,3.57,3,2822
0.71,61.3,58,5.75,5.73,3.52,3,2822
0.7,60.2,60,5.82,5.75,3.48,3,2822
0.7,60.7,56,5.75,5.72,3.48,4,2822
0.9,64,61,6.04,6.03,3.86,1,2822
0.71,60.2,56,5.86,5.83,3.52,4,2822
0.7,61.5,59,5.73,5.68,3.51,3,2822
0.7,62.6,56,5.71,5.66,3.56,3,2822
0.7,59.7,58,5.82,5.77,3.46,4,2822
0.7,61.4,64,5.71,5.66,3.49,1,2822
0.7,62.5,57,5.62,5.59,3.51,4,2822
0.7,61.8,56,5.73,5.63,3.51,4,2822
0.7,60.7,62,5.72,5.68,3.46,3,2822
0.7,60.6,58,5.8,5.72,3.49,3,2822
0.7,61.4,54,5.75,5.71,3.52,4,2822
0.79,62.8,59,5.86,5.9,3.69,2,2823
0.9,63.8,57,6.06,6.13,3.89,1,2823
0.71,62.3,58,5.71,5.66,3.54,3,2823
0.61,61.3,54,5.51,5.59,3.4,4,2823
0.9,65.8,54,6.05,5.98,3.96,0,2823
0.71,60.5,56,5.77,5.73,3.47,4,2823
0.71,61.2,59,5.74,5.69,3.5,3,2824
0.77,62.1,57,5.84,5.86,3.63,4,2824
0.74,63.1,58,5.73,5.75,3.62,1,2824
0.82,62.4,54,6.02,5.97,3.74,4,2824
0.82,60.8,60,6.05,6.03,3.67,3,2824
0.71,62.2,59,5.73,5.66,3.54,3,2825
0.83,60,59,6.08,6.05,3.64,3,2825
0.73,62,57,5.75,5.8,3.58,2,2825
0.83,62.5,59,6.02,5.95,3.74,3,2825
1.17,60.2,61,6.9,6.83,4.13,3,2825
